,cityName,cloudCover,humidity,lat,lng,temp,windSpeed
0,gwembe,0.0,57.0,-16.518772157528815,27.98310224097068,64.89,7.27
1,kitimat,90.0,93.0,53.02703460710052,-128.15418904433375,48.2,21.92
2,leningradskiy,48.0,74.0,78.3708724724928,178.93546211011034,24.58,4.52
4,panjakent,72.0,71.0,39.401036496621,67.5695502249144,53.6,4.7
5,hermanus,32.0,93.0,-51.952276698363704,13.262306017049895,57.0,12.57
6,lebu,20.0,81.0,-30.779074796400735,-92.545443874098,53.6,4.7
7,albany,90.0,82.0,-68.03501122269554,122.15042510068429,61.72,10.29
8,san cristobal,75.0,91.0,2.076712875600009,-87.00958845823376,67.66,4.52
9,mataura,90.0,47.0,-86.69709447492512,-147.57214476307053,63.0,8.01
10,yellowknife,90.0,93.0,78.00964507498037,-116.31163839037887,35.6,17.22
12,bredasdorp,0.0,87.0,-87.33928792603612,18.21987672243239,56.39,3.36
14,anupgarh,26.0,52.0,28.711582573380824,73.55051939960336,76.66,4.21
15,ushuaia,40.0,80.0,-81.8456062245357,-38.45957705084962,35.6,28.86
16,arraial do cabo,80.0,89.0,-31.491521159592892,-36.42525254212134,70.99,5.41
18,letlhakeng,4.0,32.0,-24.456895470863998,24.75374422184268,61.63,3.96
19,severo-kurilsk,0.0,81.0,32.76196045628164,163.79998892454313,45.91,18.95
20,altoona,90.0,88.0,40.1344109691226,-78.44841350584039,62.73,11.41
21,cape town,75.0,93.0,-72.8237151438551,-15.589758720168874,57.79,4.7
22,port elizabeth,90.0,68.0,-73.86506593252132,32.085243890024856,70.27,4.7
23,chuy,0.0,90.0,-43.5540147639298,-43.84183390303056,54.95,8.3
24,benghazi,0.0,65.0,34.63909129964773,17.960997505866942,74.88,7.61
25,saint george,75.0,87.0,27.549819746718484,-50.546025555854584,60.01,1.88
26,sterling,90.0,82.0,41.41722409045471,-102.48306314224968,67.91,8.05
28,khandagayty,0.0,60.0,51.10201835460131,92.25620980013952,44.98,5.5
29,mutsu,75.0,59.0,41.295062647351926,141.78458840447342,65.7,5.82
30,saint-pierre,75.0,100.0,-27.21023532071689,53.05262831715655,52.32,12.75
31,rikitea,100.0,86.0,-37.93124099287069,-119.97330497210685,73.74,11.32
32,artyom,40.0,55.0,41.22192494491503,52.06387664415581,62.6,15.66
33,vaini,40.0,94.0,-48.036422021323375,-179.18579774565134,70.72,2.37
34,hobart,75.0,44.0,-45.52029767331678,148.19791669465485,55.62,11.41
35,mount gambier,90.0,58.0,-59.37438802926796,127.31312408925282,59.0,16.11
36,sisimiut,15.0,72.0,65.21119951103583,-55.75478024125579,34.02,7.81
37,tyup,48.0,56.0,43.41382140077462,78.92970728960404,44.29,4.92
38,upernavik,0.0,76.0,79.64180672830565,-52.28205595931608,28.42,4.52
39,bluff,0.0,17.0,-54.625003361191254,164.38684731394102,94.17,6.2
40,ixtapa,75.0,66.0,14.995493864979949,-102.76144725981021,84.61,6.93
41,diebougou,100.0,91.0,10.806682211456234,-2.9484248404561697,73.45,2.57
42,tulunan,48.0,47.0,6.83580155836637,124.88661936891481,96.08,0.78
43,tuatapere,100.0,47.0,-60.98615330401586,156.99030113797392,63.0,8.01
44,kirakira,34.0,86.0,-15.203891517642205,161.86335687143333,80.42,18.41
45,clyde river,40.0,85.0,69.11312015932975,-83.30817560580698,21.2,3.36
46,pevek,100.0,78.0,79.62717271235735,166.97596976021367,28.89,13.62
47,vrangel,100.0,64.0,40.31313743983452,133.9892318709492,56.75,7.52
48,abu samrah,0.0,89.0,21.108831183928956,49.473224018001275,62.24,7.85
49,khatanga,0.0,87.0,78.1113786786562,98.52494416654201,22.93,9.04
50,mahebourg,40.0,83.0,-27.600536972071126,64.23567523053782,73.76,12.75
51,alihe,100.0,33.0,49.54372840780999,123.56316181579996,43.83,8.57
52,parana,100.0,96.0,-32.21059046393733,-60.49051337980315,72.09,0.4
53,barrow,97.0,40.0,69.45833703261707,-161.1085245103891,61.34,21.18
55,lac-megantic,90.0,87.0,45.25122416931407,-70.86722755893965,55.24,6.93
56,banda aceh,100.0,76.0,5.584924529617936,91.6179490702429,80.89,8.41
57,saskylakh,90.0,95.0,83.22250345758039,116.77738470412135,18.59,6.42
58,vila velha,75.0,74.0,-26.56788561166379,-25.43407192502744,79.68,13.87
59,qiryat gat,20.0,78.0,31.380142379388545,34.90496681123119,66.31,4.7
60,grenada,40.0,88.0,33.334519938034646,-89.45260151155222,73.89,7.2
61,kruisfontein,100.0,84.0,-56.74570161917135,27.41647570911914,58.01,1.5
62,punta arenas,20.0,69.0,-77.07029331778956,-117.32604393138149,39.09,17.22
63,pochutla,75.0,88.0,14.308432635983749,-96.57420759827376,79.21,11.41
64,alofi,88.0,61.0,-15.492947602504302,-166.38936983278927,78.8,17.22
65,kupang,20.0,48.0,-10.87913116191939,123.15630325203796,86.0,8.05
66,san lorenzo,100.0,91.0,-28.259292903845335,-57.9578813499985,76.3,1.77
67,san lawrenz,40.0,68.0,35.4412643293483,13.437053305352123,71.55,11.41
68,thompson,75.0,86.0,63.31165165203626,-90.73256287395624,39.2,6.93
69,marquette,90.0,71.0,46.72301947207933,-88.33843393018068,51.76,13.87
70,longyearbyen,75.0,90.0,86.52213123301578,15.0796988503931,32.0,14.99
71,ajdabiya,37.0,63.0,28.942036426923934,18.929180058047052,75.65,3.74
72,mar del plata,80.0,66.0,-42.27305120654195,-52.14254086464254,47.84,25.03
74,mumford,91.0,97.0,0.9230796199799443,0.8288124415457787,71.89,3.83
75,hithadhoo,81.0,77.0,-22.537998687567324,81.57142840529275,81.66,14.03
76,bethel,75.0,56.0,45.15213580340216,-162.47164686147556,44.6,9.17
77,talas,0.0,78.0,42.02615742172762,72.24391663934176,67.98,1.01
78,nome,1.0,78.0,65.1996733381192,-166.68006278317824,77.76,3.36
79,nikolskoye,0.0,86.0,43.51703029879337,170.01495716271967,33.93,2.24
81,vila,75.0,100.0,-17.721343800528814,169.89171971219645,55.13,5.82
83,brae,100.0,81.0,65.74258418945561,-0.18061753427292615,51.03,23.04
84,chokurdakh,100.0,86.0,79.15555481887617,147.17644168362978,21.04,6.35
85,tautira,40.0,65.0,-20.099670967871575,-142.78412389771046,82.18,11.41
86,egvekinot,100.0,84.0,60.27882397958257,-178.210329822956,23.77,3.74
87,primo tapia,1.0,77.0,31.39480248777714,-117.79822036325598,70.7,4.7
88,qaanaaq,100.0,77.0,86.55724037575985,-94.891618794436,19.87,17.16
90,sokolniki,40.0,93.0,54.07079968942841,38.542144106746036,35.78,1.12
91,kualakapuas,60.0,64.0,-2.5224141702066447,114.44984276370104,86.54,4.05
92,hobyo,35.0,71.0,6.6449853536526575,46.53020213155477,79.48,6.73
